ReportingDate,MinTemp,MaxTemp,Temp,DewPoint, Event,Location
2014/12/25,19,27,23,18,Rain,Sydney
2014/12/26,17,20,18,17,Rain,Sydney
2014/12/27,17,24,21,14,Rain,Sydney
2014/12/28,18,25,21,13,,Sydney
2014/12/29,17,26,22,14,Rain,Sydney
2014/12/30,19,27,23,19,Rain,Sydney
2014/12/31,16,24,20,14,Rain,Sydney
2015/01/01,22,30,26,19,Rain,Sydney
2015/01/02,21,26,23,21,Rain,Sydney
2015/01/03,23,31,27,21,,Sydney
2015/01/04,22,33,27,20,,Sydney
2015/01/05,21,25,23,19,,Sydney
2015/01/06,21,28,24,20,,Sydney
2015/01/07,22,31,27,18,,Sydney
2015/01/08,21,31,26,17,,Sydney
2015/01/09,22,32,27,19,Rain,Sydney
2015/01/10,21,28,24,21,Rain,Sydney
2015/01/11,20,22,21,20,Rain,Sydney
2015/01/12,20,23,21,19,Rain,Sydney
2015/01/13,19,27,23,19,Rain,Sydney
2015/01/14,23,34,28,17,Rain,Sydney
2015/01/15,22,26,23,16,,Sydney
2015/01/16,21,28,24,18,,Sydney
2015/01/17,21,35,28,12,,Sydney
2015/01/18,21,27,24,18,,Sydney
2015/01/19,20,23,21,15,Rain,Sydney
2015/01/20,18,26,22,17,Rain,Sydney
2015/01/21,19,28,23,19,Rain,Sydney
2015/01/22,22,28,26,19,,Sydney
2015/01/23,23,31,27,20,,Sydney
2015/01/24,23,31,27,19,Rain,Sydney
2015/01/25,21,35,28,19,Rain,Sydney
2015/01/26,19,22,21,18,Rain,Sydney
2015/01/27,18,20,19,18,Rain,Sydney
2015/01/28,17,21,19,16,Rain,Sydney
2015/01/29,15,21,18,11,,Sydney
2015/01/30,14,25,19,11,,Sydney
2015/01/31,17,25,21,12,,Sydney
2015/02/01,19,24,22,16,Rain,Sydney
2015/02/02,19,22,21,16,Rain,Sydney
2015/02/03,20,23,21,13,Rain,Sydney
2015/02/04,17,23,20,15,Rain,Sydney
2015/02/05,18,23,21,14,Rain,Sydney
2015/02/06,18,26,22,14,,Sydney
2015/02/07,19,27,23,15,Rain,Sydney
2015/02/08,19,33,26,17,,Sydney
2015/02/09,22,27,24,19,Rain,Sydney
2015/02/10,22,27,24,19,,Sydney
2015/02/11,22,30,26,18,Rain,Sydney
2015/02/12,22,29,26,19,Rain,Sydney
2015/02/13,20,27,23,19,Rain,Sydney
2015/02/14,21,28,24,19,Rain,Sydney
2015/02/15,19,29,24,18,Fog,Sydney
2015/02/16,22,29,26,17,,Sydney
2015/02/17,22,29,26,17,,Sydney
2015/02/18,23,29,26,17,,Sydney
2015/02/19,22,27,24,19,Rain,Sydney
2015/02/20,21,27,24,19,Rain,Sydney
2015/02/21,21,24,22,20,Rain,Sydney
2015/02/22,20,27,23,19,Rain,Sydney
2015/02/23,22,27,24,19,Rain,Sydney
2015/02/24,21,24,22,19,Rain,Sydney
